state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
AK,1868.2468835971433,125074.24194479443,10422.853495399535,0.5286667297798877,113,52.86667297798877,Severely Burdened
AL,1449.887162031669,125606.19536870152,10467.182947391793,0.4156684820549261,755,41.56684820549261,Burdened
AR,1299.0233137322177,141050.64948857782,11754.220790714819,0.36720038820452433,396,36.72003882045243,Borderline
AZ,1823.4580525041881,128639.56907261256,10719.964089384379,0.513222666995658,1135,51.3222666995658,Severely Burdened
CA,2880.477824479076,140319.98584620576,11693.332153850479,0.6647984102148223,5256,66.47984102148223,Severely Burdened
CO,2097.145809213072,132948.6167677447,11079.051397312058,0.5769531305739269,1093,57.695313057392696,Severely Burdened
CT,2467.5003575872324,138110.77407333234,11509.231172777694,0.6220635890134595,626,62.20635890134595,Severely Burdened
DC,2371.594276997264,150007.1971167958,12500.599759732984,0.6258285676069912,128,62.58285676069912,Severely Burdened
DE,1983.2723171236148,123644.83713965579,10303.736428304648,0.5594453789484264,143,55.94453789484264,Severely Burdened
FL,2245.297467737535,155730.9509648102,12977.579247067517,0.5920325130789683,4106,59.203251307896835,Severely Burdened
GA,1772.9085895829187,130069.57200121159,10839.131000100964,0.5091284224967004,1443,50.91284224967004,Severely Burdened
HI,3286.2331726544394,137166.97400389533,11430.581166991276,0.6712176950440861,185,67.12176950440862,Severely Burdened
IA,1199.3985950378237,128481.67611733213,10706.80634311101,0.33977685646911526,430,33.977685646911524,Borderline
ID,1708.3662139737596,132000.44216915962,11000.036847429968,0.48922812577025354,276,48.922812577025354,Burdened
IL,1879.2833482998235,131476.8245930109,10956.402049417577,0.5317472306612051,1708,53.174723066120514,Severely Burdened
IN,1404.0727015848845,128169.74140825318,10680.8117840211,0.4178806638914698,957,41.78806638914698,Burdened
KS,1392.9063253043005,124913.06522972808,10409.422102477338,0.40671793405455353,519,40.671793405455354,Burdened
KY,1425.003364208366,124788.10549657933,10399.00879138161,0.41498692881553945,477,41.49869288155394,Burdened
LA,1429.2695473943977,132446.96778323283,11037.247315269404,0.40497856508989843,591,40.49785650898984,Burdened
MA,2761.331281387101,147250.70185280667,12270.891821067222,0.6171696082330431,1122,61.71696082330431,Severely Burdened
MD,2086.1236968549974,118753.53172750161,9896.127643958467,0.5926499086587026,950,59.26499086587026,Severely Burdened
ME,2066.2813329222718,128731.8435973668,10727.653633113901,0.5905169322669493,178,59.05169322669494,Severely Burdened
MI,1542.5055940979964,125675.46378784334,10472.955315653611,0.4631420901801945,1298,46.31420901801945,Burdened
MN,1698.9832493943804,131748.43616716066,10979.036347263389,0.4994989344134002,909,49.94989344134002,Burdened
MO,1439.5327526533026,124694.36791208856,10391.19732600738,0.4216804613201727,958,42.16804613201727,Burdened
MS,1527.0525192413272,130676.34444195469,10889.695370162892,0.4273559583539464,263,42.73559583539464,Burdened
MT,1621.5019220652064,137353.30764029807,11446.10897002484,0.47288746640815355,150,47.288746640815354,Burdened
NC,1713.1279261294655,128638.61651530834,10719.88470960903,0.4865429451301652,1519,48.654294513016524,Burdened
ND,1195.8674281016802,135993.05924147603,11332.754936789668,0.34161686966368615,114,34.16168696636861,Borderline
NE,1411.440927304232,135247.79415721292,11270.649513101076,0.4115144119210275,359,41.15144119210275,Burdened
NH,2246.70524000295,132107.37600535597,11008.948000446331,0.6126216594757157,206,61.26216594757157,Severely Burdened
NJ,2661.8686795704866,131157.0609931232,10929.755082760264,0.6582371875587307,1428,65.82371875587307,Severely Burdened
NM,1627.4031983091754,125640.59541020078,10470.049617516732,0.4632543447318427,226,46.325434473184266,Burdened
NV,1806.9501322987987,160785.1077416028,13398.758978466902,0.5037469324314829,485,50.37469324314829,Severely Burdened
NY,2846.155264796916,144567.36453341457,12047.280377784547,0.6265803817842686,2456,62.65803817842686,Severely Burdened
OH,1435.1710566314482,124015.66240436281,10334.638533696902,0.4174810883679623,1611,41.748108836796234,Burdened
OK,1323.2072473633239,134225.3707931775,11185.447566098128,0.38351019487707594,642,38.351019487707596,Borderline
OR,1784.188234188398,128042.28692398155,10670.190576998462,0.5163775080744127,689,51.63775080744127,Severely Burdened
PA,1618.4120810227357,127942.29735487548,10661.858112906291,0.47435963702135475,1997,47.435963702135474,Burdened
RI,2206.418558205747,125328.05486733913,10444.004572278262,0.6127904854978709,177,61.279048549787085,Severely Burdened
SC,1700.0462620034934,129860.75102264245,10821.72925188687,0.481814496293385,753,48.1814496293385,Burdened
SD,1242.0381188238189,142624.52839816175,11885.37736651348,0.3616409636123042,138,36.16409636123042,Borderline
TN,1657.6390855495288,136021.58222759803,11335.131852299835,0.46908156748771485,1006,46.90815674877148,Burdened
TX,1614.418259478553,138283.3097641666,11523.609147013882,0.4521407581199369,4385,45.214075811993695,Burdened
UT,1883.6043821505384,144538.32329379988,12044.860274483322,0.5242331234905118,500,52.42331234905117,Severely Burdened
VA,2052.893362201573,127331.9596192737,10610.996634939474,0.5626860526080403,1305,56.26860526080403,Severely Burdened
VT,1968.4287660505333,128320.98402206482,10693.415335172069,0.601879541286832,96,60.187954128683195,Severely Burdened
WA,2059.0968997754776,127248.07587645364,10604.006323037804,0.5756988345691456,1338,57.56988345691456,Severely Burdened
WI,1473.460217484025,127805.66187858235,10650.471823215195,0.43098730075627406,800,43.09873007562741,Burdened
WV,1391.7030642122547,117907.02782409168,9825.585652007641,0.40669001750149686,150,40.66900175014968,Burdened
WY,1492.3994029661596,156701.90052202556,13058.491710168797,0.38865152286273125,83,38.86515228627312,Borderline
